Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1706454332.012476,2317,0,1
1,NewOrder,1706454332.014797,2443,0,1
2,Payment,1706454332.017246,1722,0,1
2,Payment,1706454332.018973,1661,0,1
2,Payment,1706454332.020638,1591,0,1
4,Delivery,1706454332.022233,5304,0,1
1,NewOrder,1706454332.027542,2068,0,1
2,Payment,1706454332.029614,787,0,1
5,StockLevel,1706454332.030406,953,0,1
2,Payment,1706454332.031362,1680,0,1
1,NewOrder,1706454332.033046,2556,0,1
1,NewOrder,1706454332.035607,2964,0,1
2,Payment,1706454332.038575,1623,0,1
2,Payment,1706454332.040201,763,0,1
3,OrderStatus,1706454332.040968,1146,0,1
2,Payment,1706454332.042119,787,0,1
2,Payment,1706454332.042909,1620,0,1
1,NewOrder,1706454332.044533,1901,0,1
1,NewOrder,1706454332.046439,2020,0,1
1,NewOrder,1706454332.048463,1704,0,1
2,Payment,1706454332.050170,784,0,1
2,Payment,1706454332.050958,951,0,1
2,Payment,1706454332.051913,1720,0,1
1,NewOrder,1706454332.053636,2804,0,1
1,NewOrder,1706454332.056445,1914,0,1
2,Payment,1706454332.058363,1638,0,1
3,OrderStatus,1706454332.060005,1014,0,1
4,Delivery,1706454332.061024,5535,0,1
1,NewOrder,1706454332.066563,2574,0,1
2,Payment,1706454332.069140,1628,0,1
2,Payment,1706454332.070772,763,0,1
1,NewOrder,1706454332.071540,3036,0,1
4,Delivery,1706454332.074580,5020,0,1
2,Payment,1706454332.079605,1603,0,1
2,Payment,1706454332.081212,1619,0,1
3,OrderStatus,1706454332.082834,281,0,1
1,NewOrder,1706454332.083119,2237,0,1
2,Payment,1706454332.085360,1544,0,1
5,StockLevel,1706454332.086909,678,0,1
1,NewOrder,1706454332.087589,2024,0,1
1,NewOrder,1706454332.089618,1797,0,1
2,Payment,1706454332.091419,1633,0,1
1,NewOrder,1706454332.093056,3295,0,1
3,OrderStatus,1706454332.096355,289,0,1
2,Payment,1706454332.096649,1654,0,1
1,NewOrder,1706454332.098306,2257,0,1
1,NewOrder,1706454332.100568,1870,0,1
